order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
CA-2021-100000,2021-02-21,2021-02-27,Second Class,CG-10604,Customer_433,Consumer,United States,New York,New York,West,TEC-PHO-10238,Technology,Phones,Phones Model 33,557.31,4,0.0,134.8
CA-2021-100001,2022-02-12,2022-02-18,First Class,CG-10006,Customer_778,Consumer,United States,Phoenix,Illinois,Central,TEC-PHO-10284,Technology,Phones,Phones Model 10,1303.27,9,0.4,-88.28
CA-2021-100002,2021-07-29,2021-07-30,Second Class,CG-10747,Customer_471,Home Office,United States,New York,Illinois,East,FUR-BOO-10565,Furniture,Bookcases,Bookcases Model 19,766.06,6,0.3,124.28
CA-2021-100003,2022-01-29,2022-02-04,Standard Class,CG-10103,Customer_390,Corporate,United States,Chicago,Arizona,Central,TEC-MAC-10166,Technology,Machines,Machines Model 24,148.41,4,0.2,58.05
CA-2021-100004,2022-07-01,2022-07-07,Standard Class,CG-10167,Customer_474,Corporate,United States,Seattle,Arizona,West,OFF-BIN-10701,Office Supplies,Binders,Binders Model 21,1873.94,2,0.0,225.78
CA-2021-100005,2021-03-07,2021-03-14,First Class,CG-10217,Customer_672,Corporate,United States,Chicago,Arizona,South,FUR-TAB-10146,Furniture,Tables,Tables Model 17,637.75,5,0.0,-46.82
CA-2021-100006,2022-06-23,2022-06-29,Standard Class,CG-10521,Customer_506,Consumer,United States,New York,New York,West,FUR-TAB-10642,Furniture,Tables,Tables Model 11,1173.33,10,0.4,20.18
CA-2021-100007,2021-05-11,2021-05-15,Second Class,CG-10696,Customer_739,Consumer,United States,Phoenix,Texas,Central,TEC-COP-10787,Technology,Copiers,Copiers Model 42,769.42,8,0.2,294.42
CA-2021-100008,2022-08-25,2022-08-29,Standard Class,CG-10519,Customer_109,Home Office,United States,Seattle,Arizona,West,OFF-STO-10156,Office Supplies,Storage,Storage Model 24,324.73,1,0.2,124.41
CA-2021-100009,2022-10-26,2022-10-30,Standard Class,CG-10580,Customer_81,Consumer,United States,Phoenix,Illinois,East,FUR-CHA-10778,Furniture,Chairs,Chairs Model 35,48.76,6,0.2,-2.75
CA-2021-100010,2023-09-01,2023-09-06,Standard Class,CG-10730,Customer_320,Corporate,United States,Phoenix,Arizona,Central,FUR-TAB-10448,Furniture,Tables,Tables Model 34,338.6,9,0.4,128.2
CA-2021-100011,2022-05-23,2022-05-25,Second Class,CG-10072,Customer_725,Home Office,United States,New York,California,East,OFF-STO-10927,Office Supplies,Storage,Storage Model 3,137.41,1,0.1,21.03
CA-2021-100012,2023-11-19,2023-11-21,Same Day,CG-10248,Customer_485,Corporate,United States,Los Angeles,New York,East,OFF-STO-10674,Office Supplies,Storage,Storage Model 28,564.17,8,0.1,69.7
CA-2021-100013,2023-04-22,2023-04-26,First Class,CG-10111,Customer_255,Consumer,United States,Los Angeles,Texas,South,OFF-FAS-10143,Office Supplies,Fasteners,Fasteners Model 28,1729.04,1,0.0,-282.93
CA-2021-100014,2023-08-06,2023-08-08,Second Class,CG-10051,Customer_668,Home Office,United States,New York,New York,West,FUR-BOO-10170,Furniture,Bookcases,Bookcases Model 27,1750.23,2,0.5,498.49
CA-2021-100015,2022-03-14,2022-03-21,Same Day,CG-10271,Customer_466,Corporate,United States,Chicago,Arizona,South,OFF-PAP-10158,Office Supplies,Paper,Paper Model 13,808.07,1,0.0,22.13
CA-2021-100016,2021-04-30,2021-05-05,Same Day,CG-10514,Customer_544,Consumer,United States,New York,Texas,East,OFF-BIN-10871,Office Supplies,Binders,Binders Model 12,1474.12,1,0.3,-244.26
CA-2021-100017,2022-04-27,2022-05-01,Second Class,CG-10634,Customer_84,Corporate,United States,Phoenix,Texas,Central,FUR-CHA-10957,Furniture,Chairs,Chairs Model 17,248.57,10,0.1,36.63
CA-2021-100018,2022-05-04,2022-05-07,Second Class,CG-10009,Customer_470,Home Office,United States,Houston,New York,East,FUR-BOO-10550,Furniture,Bookcases,Bookcases Model 14,797.61,5,0.5,-8.21
CA-2021-100019,2021-09-29,2021-10-02,Same Day,CG-10556,Customer_721,Corporate,United States,Houston,Arizona,East,TEC-MAC-10683,Technology,Machines,Machines Model 36,1762.92,4,0.3,-51.14
CA-2021-100020,2021-10-03,2021-10-06,Standard Class,CG-10734,Customer_352,Consumer,United States,Phoenix,Arizona,Central,OFF-STO-10517,Office Supplies,Storage,Storage Model 32,239.7,2,0.0,-8.77
CA-2021-100021,2021-07-09,2021-07-15,Standard Class,CG-10652,Customer_269,Consumer,United States,Phoenix,Illinois,South,OFF-LAB-10574,Office Supplies,Labels,Labels Model 1,852.92,5,0.0,-168.77
CA-2021-100022,2021-11-02,2021-11-07,Second Class,CG-10315,Customer_374,Consumer,United States,Seattle,California,West,FUR-CHA-10682,Furniture,Chairs,Chairs Model 7,81.7,6,0.0,4.73
CA-2021-100023,2023-04-13,2023-04-18,Standard Class,CG-10422,Customer_26,Consumer,United States,Phoenix,Washington,South,OFF-SUP-10821,Office Supplies,Supplies,Supplies Model 43,1501.46,4,0.0,579.15
CA-2021-100024,2022-07-01,2022-07-03,Same Day,CG-10227,Customer_205,Corporate,United States,Seattle,Washington,West,TEC-ACC-10228,Technology,Accessories,Accessories Model 2,1576.88,2,0.4,509.81
CA-2021-100025,2023-03-28,2023-03-31,Same Day,CG-10695,Customer_550,Corporate,United States,New York,New York,Central,TEC-ACC-10182,Technology,Accessories,Accessories Model 38,564.42,2,0.2,6.03
CA-2021-100026,2021-08-11,2021-08-16,Second Class,CG-10394,Customer_591,Consumer,United States,Seattle,New York,South,OFF-LAB-10001,Office Supplies,Labels,Labels Model 34,874.78,6,0.4,143.22
CA-2021-100027,2023-01-16,2023-01-20,Second Class,CG-10737,Customer_308,Home Office,United States,Seattle,Arizona,South,TEC-ACC-10334,Technology,Accessories,Accessories Model 26,149.25,6,0.3,29.56
CA-2021-100028,2021-09-18,2021-09-20,First Class,CG-10415,Customer_562,Consumer,United States,Seattle,Washington,West,TEC-MAC-10440,Technology,Machines,Machines Model 38,846.69,7,0.0,143.35
CA-2021-100029,2023-08-11,2023-08-15,Standard Class,CG-10674,Customer_87,Corporate,United States,Houston,Arizona,Central,TEC-MAC-10095,Technology,Machines,Machines Model 49,889.9,4,0.5,245.83
CA-2021-100030,2022-04-06,2022-04-13,Same Day,CG-10625,Customer_787,Consumer,United States,Chicago,Illinois,West,FUR-BOO-10735,Furniture,Bookcases,Bookcases Model 45,406.27,1,0.0,-21.57
CA-2021-100031,2023-03-30,2023-04-01,Standard Class,CG-10180,Customer_713,Home Office,United States,Chicago,New York,West,OFF-PAP-10939,Office Supplies,Paper,Paper Model 8,303.67,1,0.0,81.1
CA-2021-100032,2023-08-10,2023-08-16,Same Day,CG-10627,Customer_737,Home Office,United States,Chicago,Texas,South,OFF-ART-10918,Office Supplies,Art,Art Model 11,1066.95,9,0.3,394.8
CA-2021-100033,2023-07-11,2023-07-14,First Class,CG-10450,Customer_80,Home Office,United States,Seattle,California,Central,TEC-COP-10343,Technology,Copiers,Copiers Model 21,1506.04,5,0.5,265.14
CA-2021-100034,2021-10-11,2021-10-13,Same Day,CG-10338,Customer_556,Corporate,United States,Chicago,New York,West,TEC-PHO-10852,Technology,Phones,Phones Model 27,470.21,3,0.1,-75.92
