order_date,region,category,total_sales,total_profit,total_orders,avg_discount
2021-01-01,Central,Furniture,852.33,218.78,1,0.1
2021-01-01,Central,Office Supplies,523.66,-55.84,1,0.1
2021-01-01,Central,Technology,781.25,-21.05,1,0.4
2021-01-01,East,Office Supplies,1753.06,3.98,1,0.2
2021-01-01,South,Furniture,1589.9,-187.56,1,0.1
2021-01-01,South,Technology,4908.49,1122.44,4,0.25
2021-01-01,West,Furniture,1893.33,389.45,2,0.2
2021-01-01,West,Office Supplies,1599.27,293.69,1,0.0
2021-01-02,Central,Office Supplies,412.61,-43.16,1,0.2
2021-01-02,Central,Technology,1511.57,144.45,1,0.2
2021-01-02,East,Office Supplies,1350.91,173.06,1,0.2
2021-01-02,South,Furniture,1728.56,-137.3,1,0.2
2021-01-02,South,Office Supplies,3626.53,27.0,3,0.1667
2021-01-02,South,Technology,1050.68,71.99,1,0.2
2021-01-02,West,Technology,890.43,242.93,1,0.3
2021-01-03,Central,Furniture,976.06,373.8,1,0.3
2021-01-03,Central,Office Supplies,2558.01,362.25,2,0.25
2021-01-03,Central,Technology,2623.79,-349.31,2,0.15
2021-01-03,South,Technology,999.91,331.91,1,0.2
2021-01-03,West,Furniture,3152.6,-411.55,3,0.4333
2021-01-03,West,Office Supplies,1209.05,416.45,1,0.5
2021-01-04,Central,Office Supplies,1320.41,-182.79,1,0.0
2021-01-04,Central,Technology,1668.16,-111.13,2,0.1
2021-01-04,East,Office Supplies,1526.3,140.74,2,0.4
2021-01-04,South,Furniture,2741.49,126.13,3,0.1667
2021-01-04,South,Office Supplies,214.89,-33.66,1,0.0
2021-01-04,West,Technology,530.95,179.47,1,0.0
2021-01-05,Central,Furniture,188.69,63.34,1,0.0
2021-01-05,Central,Technology,2586.36,577.32,2,0.15
2021-01-05,East,Office Supplies,1874.75,590.82,1,0.4
2021-01-05,East,Technology,16.09,1.64,1,0.0
2021-01-05,South,Office Supplies,1692.11,260.54,2,0.35
2021-01-05,South,Technology,595.85,30.6,1,0.0
2021-01-05,West,Office Supplies,1778.27,238.77,1,0.0
2021-01-05,West,Technology,111.55,22.9,1,0.0
2021-01-06,Central,Office Supplies,1340.69,-86.87,1,0.2
2021-01-06,Central,Technology,3254.63,264.29,2,0.25
2021-01-06,South,Technology,1146.38,-117.79,1,0.0
2021-01-06,West,Office Supplies,1127.41,-199.09,1,0.5
2021-01-06,West,Technology,807.4,-114.54,1,0.0
