customer_id,customer_name,segment
CG-10604,Customer_433,Consumer
CG-10006,Customer_778,Consumer
CG-10747,Customer_471,Home Office
CG-10103,Customer_390,Corporate
CG-10167,Customer_474,Corporate
CG-10217,Customer_672,Corporate
CG-10521,Customer_506,Consumer
CG-10696,Customer_739,Consumer
CG-10519,Customer_109,Home Office
CG-10580,Customer_81,Consumer
CG-10730,Customer_320,Corporate
CG-10072,Customer_725,Home Office
CG-10248,Customer_485,Corporate
CG-10111,Customer_255,Consumer
CG-10051,Customer_668,Home Office
CG-10271,Customer_466,Corporate
CG-10514,Customer_544,Consumer
CG-10634,Customer_84,Corporate
CG-10009,Customer_470,Home Office
CG-10556,Customer_721,Corporate
CG-10734,Customer_352,Consumer
CG-10652,Customer_269,Consumer
CG-10315,Customer_374,Consumer
CG-10422,Customer_26,Consumer
CG-10227,Customer_205,Corporate
CG-10695,Customer_550,Corporate
CG-10394,Customer_591,Consumer
CG-10737,Customer_308,Home Office
CG-10415,Customer_562,Consumer
CG-10674,Customer_87,Corporate
CG-10625,Customer_787,Consumer
CG-10180,Customer_713,Home Office
CG-10627,Customer_737,Home Office
CG-10450,Customer_80,Home Office
CG-10338,Customer_556,Corporate
CG-10551,Customer_766,Home Office
CG-10637,Customer_547,Consumer
CG-10345,Customer_780,Corporate
CG-10204,Customer_21,Home Office
CG-10700,Customer_615,Consumer
CG-10443,Customer_371,Home Office
CG-10088,Customer_286,Corporate
CG-10569,Customer_11,Home Office
CG-10301,Customer_227,Corporate
CG-10277,Customer_314,Corporate
CG-10303,Customer_233,Corporate
CG-10587,Customer_292,Corporate
CG-10155,Customer_153,Home Office
CG-10312,Customer_583,Home Office
CG-10002,Customer_419,Corporate
CG-10435,Customer_118,Home Office
CG-10705,Customer_312,Home Office
CG-10783,Customer_689,Corporate
CG-10356,Customer_419,Corporate
CG-10258,Customer_332,Consumer
CG-10208,Customer_274,Home Office
CG-10565,Customer_418,Consumer
CG-10249,Customer_468,Home Office
CG-10193,Customer_715,Consumer
CG-10507,Customer_38,Consumer
CG-10076,Customer_481,Corporate
CG-10646,Customer_701,Corporate
CG-10300,Customer_368,Corporate
CG-10237,Customer_473,Home Office
CG-10706,Customer_257,Corporate
CG-10281,Customer_9,Home Office
CG-10635,Customer_257,Home Office
CG-10302,Customer_335,Home Office
CG-10764,Customer_347,Consumer
CG-10377,Customer_689,Home Office
CG-10663,Customer_65,Home Office
CG-10397,Customer_465,Corporate
CG-10033,Customer_707,Corporate
CG-10125,Customer_466,Consumer
CG-10336,Customer_793,Consumer
CG-10602,Customer_332,Consumer
CG-10462,Customer_516,Consumer
CG-10075,Customer_83,Corporate
CG-10670,Customer_667,Home Office
CG-10383,Customer_157,Home Office
CG-10686,Customer_126,Corporate
CG-10229,Customer_111,Corporate
CG-10029,Customer_185,Corporate
CG-10385,Customer_430,Corporate
CG-10453,Customer_678,Corporate
CG-10046,Customer_226,Corporate
CG-10132,Customer_390,Home Office
CG-10726,Customer_656,Corporate
CG-10536,Customer_81,Corporate
CG-10359,Customer_745,Home Office
CG-10475,Customer_773,Home Office
CG-10460,Customer_586,Home Office
CG-10040,Customer_254,Home Office
CG-10067,Customer_338,Consumer
CG-10349,Customer_785,Corporate
CG-10611,Customer_386,Consumer
CG-10239,Customer_547,Consumer
CG-10619,Customer_142,Corporate
CG-10447,Customer_94,Consumer
CG-10101,Customer_732,Home Office
CG-10561,Customer_745,Home Office
CG-10790,Customer_596,Home Office
CG-10037,Customer_301,Consumer
CG-10671,Customer_340,Corporate
CG-10084,Customer_745,Corporate
CG-10170,Customer_707,Corporate
CG-10372,Customer_526,Home Office
CG-10753,Customer_191,Corporate
CG-10205,Customer_143,Consumer
CG-10538,Customer_421,Corporate
CG-10786,Customer_133,Corporate
CG-10080,Customer_257,Consumer
CG-10577,Customer_43,Consumer
CG-10494,Customer_251,Home Office
CG-10735,Customer_327,Home Office
CG-10509,Customer_24,Consumer
CG-10110,Customer_442,Consumer
CG-10395,Customer_517,Corporate
CG-10512,Customer_42,Consumer
CG-10166,Customer_403,Home Office
CG-10597,Customer_316,Home Office
CG-10032,Customer_587,Home Office
CG-10722,Customer_142,Home Office
CG-10624,Customer_496,Consumer
CG-10404,Customer_354,Consumer
CG-10575,Customer_713,Corporate
CG-10005,Customer_564,Consumer
CG-10179,Customer_428,Consumer
CG-10137,Customer_517,Corporate
CG-10457,Customer_772,Corporate
CG-10775,Customer_551,Home Office
CG-10168,Customer_336,Home Office
CG-10554,Customer_62,Consumer
CG-10669,Customer_357,Consumer
CG-10544,Customer_389,Consumer
CG-10307,Customer_725,Consumer
CG-10094,Customer_549,Home Office
CG-10310,Customer_16,Consumer
CG-10477,Customer_547,Home Office
CG-10320,Customer_424,Consumer
CG-10511,Customer_564,Home Office
CG-10188,Customer_556,Home Office
CG-10223,Customer_518,Corporate
CG-10017,Customer_515,Home Office
CG-10719,Customer_176,Consumer
CG-10348,Customer_620,Home Office
CG-10087,Customer_791,Home Office
CG-10455,Customer_369,Corporate
CG-10171,Customer_446,Corporate
CG-10311,Customer_7,Corporate
CG-10490,Customer_322,Consumer
CG-10606,Customer_559,Consumer
CG-10648,Customer_311,Consumer
CG-10718,Customer_550,Home Office
CG-10440,Customer_109,Consumer
CG-10448,Customer_740,Home Office
CG-10528,Customer_179,Home Office
CG-10116,Customer_269,Home Office
CG-10629,Customer_605,Consumer
CG-10588,Customer_393,Corporate
CG-10496,Customer_140,Consumer
CG-10299,Customer_34,Corporate
CG-10778,Customer_737,Corporate
CG-10449,Customer_121,Consumer
CG-10545,Customer_288,Home Office
CG-10064,Customer_548,Corporate
CG-10047,Customer_102,Home Office
CG-10095,Customer_671,Corporate
CG-10001,Customer_219,Corporate
CG-10765,Customer_402,Corporate
CG-10135,Customer_397,Home Office
CG-10518,Customer_294,Home Office
CG-10549,Customer_335,Corporate
CG-10316,Customer_683,Home Office
CG-10767,Customer_276,Home Office
CG-10056,Customer_512,Home Office
CG-10183,Customer_229,Home Office
CG-10757,Customer_638,Consumer
CG-10343,Customer_2,Home Office
CG-10532,Customer_423,Home Office
CG-10242,Customer_299,Corporate
CG-10721,Customer_714,Home Office
CG-10031,Customer_415,Corporate
CG-10381,Customer_703,Home Office
CG-10645,Customer_557,Consumer
CG-10030,Customer_288,Consumer
CG-10589,Customer_398,Corporate
CG-10504,Customer_556,Corporate
CG-10600,Customer_104,Corporate
CG-10387,Customer_315,Home Office
CG-10508,Customer_145,Corporate
CG-10262,Customer_111,Home Office
CG-10591,Customer_667,Home Office
CG-10164,Customer_750,Consumer
CG-10210,Customer_195,Corporate
CG-10003,Customer_438,Consumer
CG-10407,Customer_483,Corporate
CG-10269,Customer_232,Corporate
CG-10566,Customer_63,Corporate
CG-10177,Customer_172,Consumer
CG-10089,Customer_398,Home Office
CG-10151,Customer_581,Home Office
CG-10412,Customer_148,Home Office
CG-10318,Customer_288,Corporate
CG-10192,Customer_453,Consumer
CG-10697,Customer_32,Consumer
CG-10050,Customer_167,Home Office
CG-10615,Customer_9,Consumer
CG-10693,Customer_534,Home Office
CG-10655,Customer_333,Corporate
CG-10738,Customer_27,Home Office
CG-10702,Customer_548,Home Office
CG-10483,Customer_200,Home Office
CG-10146,Customer_324,Home Office
CG-10501,Customer_782,Consumer
CG-10329,Customer_776,Home Office
CG-10305,Customer_298,Corporate
CG-10744,Customer_135,Consumer
CG-10677,Customer_111,Home Office
CG-10678,Customer_533,Corporate
CG-10535,Customer_207,Corporate
CG-10113,Customer_588,Home Office
CG-10178,Customer_41,Corporate
CG-10636,Customer_275,Home Office
CG-10115,Customer_136,Home Office
CG-10531,Customer_536,Home Office
CG-10011,Customer_659,Consumer
CG-10570,Customer_563,Consumer
