product_id,product_name,category,sub_category
TEC-PHO-10238,Phones Model 33,Technology,Phones
TEC-PHO-10284,Phones Model 10,Technology,Phones
FUR-BOO-10565,Bookcases Model 19,Furniture,Bookcases
TEC-MAC-10166,Machines Model 24,Technology,Machines
OFF-BIN-10701,Binders Model 21,Office Supplies,Binders
FUR-TAB-10146,Tables Model 17,Furniture,Tables
FUR-TAB-10642,Tables Model 11,Furniture,Tables
TEC-COP-10787,Copiers Model 42,Technology,Copiers
OFF-STO-10156,Storage Model 24,Office Supplies,Storage
FUR-CHA-10778,Chairs Model 35,Furniture,Chairs
FUR-TAB-10448,Tables Model 34,Furniture,Tables
OFF-STO-10927,Storage Model 3,Office Supplies,Storage
OFF-STO-10674,Storage Model 28,Office Supplies,Storage
OFF-FAS-10143,Fasteners Model 28,Office Supplies,Fasteners
FUR-BOO-10170,Bookcases Model 27,Furniture,Bookcases
OFF-PAP-10158,Paper Model 13,Office Supplies,Paper
OFF-BIN-10871,Binders Model 12,Office Supplies,Binders
FUR-CHA-10957,Chairs Model 17,Furniture,Chairs
FUR-BOO-10550,Bookcases Model 14,Furniture,Bookcases
TEC-MAC-10683,Machines Model 36,Technology,Machines
OFF-STO-10517,Storage Model 32,Office Supplies,Storage
OFF-LAB-10574,Labels Model 1,Office Supplies,Labels
FUR-CHA-10682,Chairs Model 7,Furniture,Chairs
OFF-SUP-10821,Supplies Model 43,Office Supplies,Supplies
TEC-ACC-10228,Accessories Model 2,Technology,Accessories
TEC-ACC-10182,Accessories Model 38,Technology,Accessories
OFF-LAB-10001,Labels Model 34,Office Supplies,Labels
TEC-ACC-10334,Accessories Model 26,Technology,Accessories
TEC-MAC-10440,Machines Model 38,Technology,Machines
TEC-MAC-10095,Machines Model 49,Technology,Machines
FUR-BOO-10735,Bookcases Model 45,Furniture,Bookcases
OFF-PAP-10939,Paper Model 8,Office Supplies,Paper
OFF-ART-10918,Art Model 11,Office Supplies,Art
TEC-COP-10343,Copiers Model 21,Technology,Copiers
