order_id,customer_id,product_id,order_date,sales,quantity,profit,discount,order_month,order_year,profit_margin
CA-2021-100000,CG-10604,TEC-PHO-10238,2021-02-21,557.31,4,134.8,0.0,2,2021,0.2419
CA-2021-100001,CG-10006,TEC-PHO-10284,2022-02-12,1303.27,9,-88.28,0.4,2,2022,-0.0677
CA-2021-100002,CG-10747,FUR-BOO-10565,2021-07-29,766.06,6,124.28,0.3,7,2021,0.1622
CA-2021-100003,CG-10103,TEC-MAC-10166,2022-01-29,148.41,4,58.05,0.2,1,2022,0.3911
CA-2021-100004,CG-10167,OFF-BIN-10701,2022-07-01,1873.94,2,225.78,0.0,7,2022,0.1205
CA-2021-100005,CG-10217,FUR-TAB-10146,2021-03-07,637.75,5,-46.82,0.0,3,2021,-0.0734
CA-2021-100006,CG-10521,FUR-TAB-10642,2022-06-23,1173.33,10,20.18,0.4,6,2022,0.0172
CA-2021-100007,CG-10696,TEC-COP-10787,2021-05-11,769.42,8,294.42,0.2,5,2021,0.3827
CA-2021-100008,CG-10519,OFF-STO-10156,2022-08-25,324.73,1,124.41,0.2,8,2022,0.3831
CA-2021-100009,CG-10580,FUR-CHA-10778,2022-10-26,48.76,6,-2.75,0.2,10,2022,-0.0564
CA-2021-100010,CG-10730,FUR-TAB-10448,2023-09-01,338.6,9,128.2,0.4,9,2023,0.3786
CA-2021-100011,CG-10072,OFF-STO-10927,2022-05-23,137.41,1,21.03,0.1,5,2022,0.153
CA-2021-100012,CG-10248,OFF-STO-10674,2023-11-19,564.17,8,69.7,0.1,11,2023,0.1235
CA-2021-100013,CG-10111,OFF-FAS-10143,2023-04-22,1729.04,1,-282.93,0.0,4,2023,-0.1636
CA-2021-100014,CG-10051,FUR-BOO-10170,2023-08-06,1750.23,2,498.49,0.5,8,2023,0.2848
CA-2021-100015,CG-10271,OFF-PAP-10158,2022-03-14,808.07,1,22.13,0.0,3,2022,0.0274
CA-2021-100016,CG-10514,OFF-BIN-10871,2021-04-30,1474.12,1,-244.26,0.3,4,2021,-0.1657
CA-2021-100017,CG-10634,FUR-CHA-10957,2022-04-27,248.57,10,36.63,0.1,4,2022,0.1474
CA-2021-100018,CG-10009,FUR-BOO-10550,2022-05-04,797.61,5,-8.21,0.5,5,2022,-0.0103
CA-2021-100019,CG-10556,TEC-MAC-10683,2021-09-29,1762.92,4,-51.14,0.3,9,2021,-0.029
CA-2021-100020,CG-10734,OFF-STO-10517,2021-10-03,239.7,2,-8.77,0.0,10,2021,-0.0366
CA-2021-100021,CG-10652,OFF-LAB-10574,2021-07-09,852.92,5,-168.77,0.0,7,2021,-0.1979
CA-2021-100022,CG-10315,FUR-CHA-10682,2021-11-02,81.7,6,4.73,0.0,11,2021,0.0579
CA-2021-100023,CG-10422,OFF-SUP-10821,2023-04-13,1501.46,4,579.15,0.0,4,2023,0.3857
CA-2021-100024,CG-10227,TEC-ACC-10228,2022-07-01,1576.88,2,509.81,0.4,7,2022,0.3233
CA-2021-100025,CG-10695,TEC-ACC-10182,2023-03-28,564.42,2,6.03,0.2,3,2023,0.0107
CA-2021-100026,CG-10394,OFF-LAB-10001,2021-08-11,874.78,6,143.22,0.4,8,2021,0.1637
CA-2021-100027,CG-10737,TEC-ACC-10334,2023-01-16,149.25,6,29.56,0.3,1,2023,0.1981
CA-2021-100028,CG-10415,TEC-MAC-10440,2021-09-18,846.69,7,143.35,0.0,9,2021,0.1693
CA-2021-100029,CG-10674,TEC-MAC-10095,2023-08-11,889.9,4,245.83,0.5,8,2023,0.2762
CA-2021-100030,CG-10625,FUR-BOO-10735,2022-04-06,406.27,1,-21.57,0.0,4,2022,-0.0531
CA-2021-100031,CG-10180,OFF-PAP-10939,2023-03-30,303.67,1,81.1,0.0,3,2023,0.2671
CA-2021-100032,CG-10627,OFF-ART-10918,2023-08-10,1066.95,9,394.8,0.3,8,2023,0.37
CA-2021-100033,CG-10450,TEC-COP-10343,2023-07-11,1506.04,5,265.14,0.5,7,2023,0.1761
CA-2021-100034,CG-10338,TEC-PHO-10852,2021-10-11,470.21,3,-75.92,0.1,10,2021,-0.1615
CA-2021-100035,CG-10551,OFF-LAB-10499,2023-02-19,21.73,6,5.48,0.2,2,2023,0.2522
CA-2021-100036,CG-10637,OFF-FAS-10085,2023-09-22,783.83,7,238.52,0.0,9,2023,0.3043
CA-2021-100037,CG-10345,OFF-ART-10854,2023-08-04,110.07,7,-8.04,0.3,8,2023,-0.073
CA-2021-100038,CG-10204,OFF-LAB-10484,2021-04-17,456.2,2,115.21,0.0,4,2021,0.2525
CA-2021-100039,CG-10167,FUR-TAB-10589,2023-08-11,519.92,6,85.03,0.0,8,2023,0.1635
CA-2021-100040,CG-10700,OFF-FAS-10545,2022-02-11,1188.27,4,259.42,0.0,2,2022,0.2183
CA-2021-100041,CG-10443,TEC-MAC-10445,2021-05-22,1298.61,1,381.01,0.4,5,2021,0.2934
CA-2021-100042,CG-10088,TEC-MAC-10344,2023-09-18,876.79,10,-5.8,0.2,9,2023,-0.0066
CA-2021-100043,CG-10569,OFF-ENV-10737,2022-01-08,432.12,5,-13.92,0.3,1,2022,-0.0322
CA-2021-100044,CG-10301,OFF-SUP-10679,2022-05-08,957.43,8,264.02,0.5,5,2022,0.2758
CA-2021-100045,CG-10277,OFF-PAP-10323,2023-12-24,856.75,9,9.5,0.3,12,2023,0.0111
CA-2021-100046,CG-10303,TEC-ACC-10725,2022-01-28,1479.82,5,574.62,0.2,1,2022,0.3883
CA-2021-100047,CG-10587,FUR-BOO-10188,2021-04-04,1111.18,3,-153.84,0.5,4,2021,-0.1384
CA-2021-100048,CG-10155,OFF-PAP-10121,2021-08-22,140.03,8,20.47,0.0,8,2021,0.1462
CA-2021-100049,CG-10312,OFF-BIN-10970,2023-12-07,906.52,8,286.55,0.2,12,2023,0.3161
CA-2021-100050,CG-10002,FUR-TAB-10298,2022-06-26,171.56,4,22.51,0.0,6,2022,0.1312
CA-2021-100051,CG-10435,FUR-BOO-10930,2022-08-03,1720.62,2,609.7,0.1,8,2022,0.3543
CA-2021-100052,CG-10705,FUR-CHA-10448,2021-05-03,1587.33,10,100.78,0.2,5,2021,0.0635
CA-2021-100053,CG-10783,TEC-PHO-10481,2023-06-04,651.42,5,-94.59,0.0,6,2023,-0.1452
CA-2021-100054,CG-10356,TEC-COP-10878,2022-07-24,1993.92,7,760.55,0.5,7,2022,0.3814
CA-2021-100055,CG-10258,OFF-FAS-10673,2023-10-12,1328.54,7,96.84,0.0,10,2023,0.0729
CA-2021-100056,CG-10208,OFF-FAS-10901,2021-04-22,1041.69,10,182.55,0.5,4,2021,0.1752
